StudyHours,PreviousResult,Attendance,FinalMarks
4.3,97.9,48.5,72.7
1.4,90.6,69.9,74.7
10.4,87.2,77.1,98.6
7.5,48.1,82.1,78.5
4.0,42.0,73.6,56.4
0.8,76.8,40.6,53.1
3.7,95.1,59.6,80.6
3.9,69.0,71.1,68.8
8.8,70.0,45.3,86.6
7.7,49.6,61.0,69.2
10.6,83.9,42.0,89.1
5.7,43.1,44.7,62.4
1.4,52.7,63.8,47.3
8.6,59.8,48.0,65.3
9.1,65.5,74.1,78.1
6.7,47.0,81.4,79.6
9.3,38.0,88.0,76.7
5.9,72.7,52.0,85.2
6.3,50.2,50.0,61.2
5.1,70.7,46.3,68.4
0.3,40.8,78.2,58.4
1.3,63.7,82.4,74.1
0.4,67.3,41.9,61.0
7.6,33.6,96.2,81.1
3.8,53.6,43.1,60.9
6.1,39.4,72.5,68.8
10.9,34.4,82.5,85.1
3.0,99.3,92.3,83.7
4.9,52.6,82.8,66.5
9.1,86.7,88.1,98.4
2.7,47.8,60.4,54.5
0.9,77.7,88.9,68.2
3.5,83.2,44.8,70.7
1.9,71.7,93.7,77.3
11.2,63.0,72.9,91.1
9.7,58.8,89.0,96.7
7.6,54.4,67.1,69.0
10.5,95.1,78.6,100.0
9.6,88.1,71.6,91.9
2.2,97.6,83.9,71.5
10.7,38.7,44.9,70.6
6.5,81.2,43.6,74.5
9.7,95.7,54.8,100.0
10.8,42.7,49.6,77.5
3.8,34.7,92.3,57.8
1.3,81.9,53.2,71.9
2.7,70.2,98.6,81.9
5.1,88.9,60.2,81.8
9.8,39.8,50.9,69.5
10.3,85.7,87.4,96.6
0.1,44.1,79.5,49.9
6.1,41.5,69.9,71.3
5.0,41.5,73.3,73.0
2.7,87.0,83.2,85.6
1.4,76.6,53.7,58.5
4.1,66.6,99.8,73.3
11.3,55.1,98.5,96.2
3.9,91.4,79.0,73.1
6.2,57.5,52.0,68.8
8.4,87.2,80.8,93.6
4.4,60.7,44.3,58.4
11.7,56.4,41.8,72.2
11.5,62.4,55.5,88.7
3.0,51.1,67.8,57.1
6.0,82.3,92.1,82.7
3.6,65.2,83.6,57.6
3.4,46.3,84.6,64.0
0.4,93.0,65.5,76.9
7.3,56.9,60.8,81.2
6.0,68.0,62.3,71.6
0.6,93.5,99.3,76.0
3.3,73.7,42.4,64.4
10.9,38.2,92.0,80.6
2.9,95.8,74.7,80.9
1.7,73.9,66.3,68.4
5.9,53.4,83.5,80.2
11.8,39.7,69.2,81.5
2.9,85.6,92.4,79.6
8.1,73.4,94.0,87.5
9.1,67.3,65.3,79.7
2.9,92.6,56.6,71.6
8.7,85.2,75.5,94.7
4.4,40.6,94.7,72.4
7.6,51.8,52.6,65.3
7.6,47.4,77.4,82.4
6.4,82.1,77.9,84.1
1.1,32.3,84.0,51.3
10.0,69.9,47.9,78.6
3.8,83.4,82.9,67.5
2.2,91.4,94.5,85.9
0.5,53.9,50.8,52.0
7.1,87.5,54.3,81.2
8.1,37.7,98.3,79.2
0.2,89.3,50.9,64.2
6.1,38.9,91.3,63.4
2.7,57.8,69.5,59.4
7.7,85.8,54.8,87.8
2.1,40.5,92.2,53.9
8.3,46.0,66.7,74.8
4.6,80.6,70.9,70.5
11.2,80.4,61.6,96.6
1.7,74.9,75.6,67.6
4.1,78.6,49.8,60.6
1.4,68.0,63.5,66.3
11.1,47.6,98.2,88.1
10.5,54.2,55.5,75.8
3.1,42.7,79.4,61.2
7.9,93.6,59.5,94.7
9.8,70.8,86.4,88.6
6.7,58.1,47.9,68.0
6.4,62.3,98.2,85.7
2.9,96.3,67.2,80.8
1.1,40.7,54.2,46.7
10.8,71.0,44.4,82.3
10.8,65.4,50.2,79.5
7.6,72.8,71.2,83.7
4.1,31.3,60.2,47.5
4.2,91.0,89.7,71.3
8.7,95.2,65.9,96.1
10.8,69.6,54.9,91.2
10.6,78.8,77.0,84.6
9.4,94.6,82.4,95.7
7.7,79.5,50.0,83.0
1.0,40.7,50.1,54.6
1.9,70.3,42.2,56.6
10.8,72.5,84.2,93.0
7.3,59.7,79.8,78.8
0.1,81.6,68.5,70.4
1.2,95.4,90.7,75.7
8.0,94.8,88.3,94.4
0.1,61.6,75.1,55.1
1.9,37.9,92.1,53.7
6.6,98.9,52.4,85.7
8.3,88.7,46.7,92.5
7.8,38.7,56.2,67.4
2.7,94.5,43.4,67.7
8.5,90.9,71.9,92.0
2.8,66.3,96.2,66.0
3.9,71.4,42.4,67.4
9.0,57.9,47.3,74.0
7.8,33.8,67.1,66.1
10.2,53.5,96.0,100.0
7.9,86.2,59.0,87.4
6.8,30.3,70.4,59.9
1.1,53.3,42.5,45.2
4.4,57.9,48.9,66.8
3.2,67.6,99.2,77.0
2.9,94.4,97.9,78.6
11.7,54.2,40.3,83.5
4.7,54.3,97.1,71.6
10.7,81.6,78.3,100.0
7.6,61.7,92.1,90.5
9.5,45.7,67.3,74.7
6.0,61.7,70.9,80.4
6.9,39.9,69.3,67.8
5.9,42.3,80.0,72.9
2.3,64.9,48.4,59.8
8.7,59.3,41.8,68.1
3.4,94.0,58.5,72.1
0.3,55.4,82.3,62.9
7.7,70.6,52.1,75.3
2.1,74.3,80.4,68.1
11.3,30.9,98.2,80.9
11.4,76.4,45.6,90.6
11.0,42.5,80.4,94.4
4.4,97.3,66.6,76.8
0.2,40.4,92.1,54.5
11.1,59.0,50.6,89.1
5.1,36.0,81.6,63.8
11.6,99.8,90.3,100.0
11.6,65.2,96.7,94.6
10.2,71.7,81.0,95.7
3.5,34.7,69.8,54.4
4.6,82.5,77.1,84.9
10.2,44.7,92.1,92.0
3.8,92.9,74.2,93.8
2.0,44.4,41.8,49.2
6.7,43.3,95.9,77.8
11.2,32.6,81.4,82.0
8.4,63.0,80.6,82.8
6.8,69.5,52.9,75.8
1.2,34.6,79.5,49.8
7.4,84.3,63.6,85.8
11.9,61.7,79.1,100.0
1.7,66.7,46.4,50.7
6.2,60.9,79.5,82.5
10.5,58.1,100.0,100.0
8.9,69.2,42.9,76.7
8.4,40.9,98.6,70.5
8.4,42.7,64.4,68.6
4.3,90.3,92.2,93.2
3.5,96.2,86.9,84.9
9.7,56.1,74.0,78.7
9.7,49.0,84.3,81.5
10.4,75.1,92.7,100.0
11.0,58.6,64.2,88.4
6.1,31.8,59.6,57.7
6.0,40.9,80.1,66.6
9.6,80.1,88.5,95.4
7.8,76.1,85.7,84.9
8.4,31.9,87.9,82.4
9.5,45.5,66.1,74.9
10.7,46.2,89.1,93.4
4.1,77.0,47.2,74.9
4.5,31.4,72.7,62.9
1.1,37.3,40.3,38.2
6.9,86.0,59.5,85.0
0.4,42.5,62.0,46.7
5.6,75.7,63.8,71.7
6.5,46.7,81.7,74.3
3.4,37.0,63.3,48.1
7.1,47.0,66.9,76.1
0.4,80.6,54.3,57.4
0.4,89.9,62.4,66.9
9.9,88.1,53.6,92.4
4.3,57.8,44.4,58.0
1.5,76.8,76.2,71.0
6.3,44.3,80.1,68.3
9.2,50.5,77.2,85.3
2.6,92.7,67.8,68.5
7.5,30.9,62.8,64.3
1.0,36.0,91.8,64.6
0.6,44.6,71.1,46.0
6.4,31.9,68.8,59.2
6.5,42.7,41.5,61.6
7.6,70.8,60.5,80.2
8.7,59.5,62.8,80.5
11.7,92.5,63.9,100.0
6.2,87.2,74.8,89.1
3.9,53.9,72.0,70.4
9.5,48.2,76.5,82.8
3.2,56.6,85.9,66.8
5.3,71.3,88.8,84.4
0.9,48.8,83.1,66.6
0.3,73.7,97.3,68.9
11.6,58.7,41.1,75.7
10.0,68.6,51.7,88.5
8.4,60.5,40.5,70.9
4.9,50.6,78.8,57.7
2.1,96.4,93.9,87.3
1.9,83.5,54.6,62.8
3.0,39.8,95.6,63.1
6.6,90.8,43.6,80.9
8.6,64.1,96.1,91.2
7.9,92.6,61.1,92.6
3.4,86.0,46.1,66.3
11.5,59.8,69.2,91.7
8.9,31.6,55.4,64.7
6.7,48.8,57.1,70.4
7.3,67.9,58.4,79.7
5.0,74.3,88.2,76.5
3.0,48.1,72.3,65.4
4.3,39.8,58.7,53.8
9.1,88.4,76.6,99.7
0.2,98.9,83.0,76.9
1.4,66.8,56.4,67.0
0.6,42.0,64.8,46.9
0.5,49.1,47.3,43.6
10.3,31.3,50.9,68.6
8.4,94.0,80.9,95.6
5.7,38.2,50.9,61.6
1.2,70.4,71.5,55.1
5.9,49.2,82.5,66.9
5.7,68.8,46.4,63.2
2.1,75.6,74.0,73.5
5.2,88.1,55.4,86.0
4.8,44.4,97.8,71.0
7.4,30.8,69.0,64.4
7.6,39.6,88.4,75.5
0.5,93.0,73.0,76.4
4.5,91.2,42.6,68.1
7.5,71.8,78.0,85.8
6.0,72.0,97.1,90.8
10.3,76.6,76.1,96.9
7.9,42.3,89.2,78.3
2.0,94.0,93.1,86.5
0.8,59.3,53.7,38.7
7.7,56.8,52.7,75.0
0.3,66.3,76.7,57.2
7.0,33.3,64.7,54.6
11.3,41.6,90.4,90.2
6.9,81.7,94.0,98.4
4.7,35.8,61.2,56.1
7.7,72.2,54.2,83.0
5.5,47.2,86.8,79.5
6.5,57.3,56.5,75.9
11.3,50.2,89.4,99.0
4.6,54.9,65.4,69.1
11.5,80.3,80.1,100.0
10.9,50.8,45.7,68.7
2.3,69.6,77.4,66.7
0.8,63.3,67.1,53.6
1.2,76.5,75.2,77.6
0.2,95.6,50.1,63.0
1.1,81.3,84.2,71.7
8.2,45.0,91.8,82.9
0.9,32.2,53.0,41.7
3.8,48.4,45.7,62.9
10.1,71.7,41.4,78.3
0.3,33.6,78.5,48.9
9.8,64.7,76.4,84.5
3.4,71.8,72.8,64.2
1.4,53.4,53.9,48.7
8.4,84.0,63.5,87.7
7.5,37.5,75.7,68.1
10.5,35.3,69.8,73.1
8.8,81.0,99.3,91.6
9.6,64.7,48.2,78.7
3.4,78.2,81.7,68.5
2.1,60.4,64.3,63.6
9.0,47.2,65.7,76.0
9.7,87.3,83.1,91.7
11.9,86.0,81.5,100.0
5.0,78.6,99.5,82.5
4.5,49.1,47.7,59.0
9.3,71.3,46.2,87.0
4.1,55.3,83.5,60.1
11.2,36.4,74.7,81.1
10.3,94.2,56.4,94.7
5.1,39.6,44.8,57.9
9.0,96.5,45.1,90.2
9.1,61.2,93.7,86.1
1.2,43.0,51.5,44.7
10.8,67.9,59.4,83.4
6.1,91.1,53.6,86.2
9.9,81.3,61.3,90.7
3.8,86.5,44.2,78.8
10.7,76.1,71.1,93.6
4.7,78.5,44.1,65.2
0.1,89.4,88.0,64.9
10.9,47.5,54.0,68.9
1.1,64.3,72.4,52.8
3.8,45.5,92.8,68.8
11.4,99.1,79.1,100.0
11.4,96.1,72.0,96.3
6.9,32.8,59.5,66.1
7.6,79.4,60.0,80.1
5.4,94.8,80.2,88.9
3.5,42.6,99.6,75.5
3.9,69.8,79.7,78.0
8.1,94.1,73.5,92.6
9.0,32.4,83.8,70.6
9.5,78.8,67.9,79.6
9.5,50.8,43.6,68.3
1.1,94.7,73.7,72.2
5.9,98.0,97.5,91.2
0.7,96.1,50.5,65.0
6.6,63.2,81.4,79.9
5.3,90.3,52.1,76.5
10.7,89.1,72.1,96.1
4.2,52.3,45.8,58.1
1.4,88.0,67.0,71.7
1.7,32.6,85.4,48.3
9.1,71.7,60.9,91.3
7.4,46.1,79.9,74.1
1.2,38.4,87.7,55.4
1.0,35.4,95.6,59.4
8.4,78.7,54.1,84.1
0.9,53.8,64.0,58.2
9.9,80.7,49.1,88.1
8.5,34.6,99.5,76.1
1.0,52.1,95.6,64.3
1.0,67.8,72.4,56.1
11.8,85.4,90.5,100.0
4.5,52.3,71.3,65.6
4.4,73.8,77.4,74.9
9.8,92.0,45.3,89.1
11.4,73.1,85.3,89.6
11.8,46.3,47.7,75.5
9.0,31.7,89.6,77.0
4.5,90.9,86.9,86.7
1.0,31.5,82.5,45.2
9.3,91.2,42.2,93.4
6.7,67.0,58.2,70.0
5.1,95.7,55.8,85.2
10.9,85.9,61.6,97.7
1.3,99.9,45.3,64.2
5.9,54.5,96.2,87.2
0.1,83.7,73.2,59.8
5.6,58.1,58.3,72.1
0.7,63.6,63.8,61.7
1.4,73.9,66.8,60.4
1.4,91.2,76.0,80.4
7.8,98.9,70.9,93.0
9.0,83.8,95.2,100.0
7.0,59.2,69.8,76.9
11.5,59.5,99.5,97.5
4.5,81.6,91.1,87.5
3.4,46.7,52.5,58.6
10.4,37.7,95.8,76.3
2.7,54.8,47.0,60.6
11.6,50.1,89.0,83.2
0.1,50.7,62.8,54.6
11.6,46.4,92.7,96.8
0.5,32.9,92.1,46.8
10.7,31.3,88.4,79.1
6.3,99.1,87.4,89.2
11.9,59.9,58.3,86.1
0.9,56.9,44.9,47.4
6.6,77.6,64.2,84.0
11.6,45.3,50.4,84.6
6.3,96.5,81.7,99.0
7.6,85.0,60.8,82.2
8.3,36.3,98.5,77.9
5.5,59.2,78.5,65.3
7.5,91.5,89.3,91.9
7.0,96.1,48.0,88.7
10.8,62.7,91.7,100.0
0.5,72.9,95.4,63.1
3.4,41.7,69.2,54.7
11.4,99.4,76.4,100.0
10.7,46.2,85.9,87.8
5.5,96.0,50.5,76.0
7.4,75.5,70.2,85.6
3.3,72.5,63.9,65.7
2.3,65.9,48.8,57.8
5.6,46.1,62.1,66.6
4.2,42.4,44.1,52.8
7.0,45.4,41.5,59.4
0.9,43.1,48.1,43.8
11.7,84.6,97.8,100.0
11.8,54.5,73.0,87.2
8.4,34.0,97.9,76.9
6.4,97.8,65.9,96.1
3.7,91.9,58.7,78.3
9.8,94.9,70.4,97.0
8.2,99.6,66.4,97.8
2.0,42.2,46.3,45.1
10.9,57.7,78.4,95.2
9.9,83.1,53.0,90.7
11.4,78.7,77.2,98.3
8.7,40.8,79.0,78.4
7.4,87.1,49.1,73.9
5.0,45.7,43.7,50.8
11.2,45.7,86.8,82.0
10.4,67.6,67.6,89.2
0.5,71.5,43.5,61.8
0.3,70.6,99.7,80.2
4.5,36.4,43.5,54.3
9.7,91.4,81.7,100.0
11.8,48.6,99.0,85.5
1.8,39.1,54.4,44.6
7.1,92.2,48.5,78.8
4.6,96.9,47.3,73.6
11.6,90.3,58.2,97.5
10.1,86.7,46.1,86.4
10.1,75.9,81.5,85.2
5.6,68.6,43.7,71.1
5.0,36.1,70.6,55.3
3.3,58.6,99.8,74.5
0.7,56.1,88.8,71.6
10.4,48.2,76.9,79.0
9.8,80.6,58.4,76.5
12.0,64.7,77.4,93.7
12.0,35.7,71.6,87.3
6.7,45.4,65.6,77.7
9.2,77.8,47.8,76.9
11.3,35.3,93.2,88.5
10.2,89.6,67.0,94.2
3.0,64.7,51.7,59.9
5.4,63.6,62.1,83.5
1.5,71.5,64.8,55.0
11.4,87.7,89.7,100.0
7.3,54.3,84.0,81.2
2.7,77.5,86.2,80.4
8.1,69.6,40.7,74.8
7.4,48.7,65.0,72.7
4.3,91.5,68.9,78.2
1.4,85.8,41.2,62.2
8.1,76.1,55.6,79.7
6.2,89.5,85.6,93.2
9.3,90.7,48.2,86.8
6.2,79.6,72.1,84.0
10.2,88.6,52.9,91.8
6.6,78.8,40.7,79.2
6.7,77.6,54.5,77.2
10.5,73.3,98.6,91.5
4.8,82.7,88.1,90.2
1.6,41.1,97.6,56.0
0.3,91.7,69.3,65.1
9.1,91.0,46.6,84.7
7.4,32.0,72.9,73.7
8.4,87.8,67.3,79.8
2.6,39.0,90.7,76.3
1.6,53.5,45.9,55.3
0.2,82.0,69.3,65.3
4.2,41.3,49.0,53.5
7.1,87.3,59.5,85.5
4.7,88.2,84.2,87.2
5.2,65.5,68.6,75.6
10.8,30.4,62.6,76.1
4.2,50.1,63.7,62.2
6.2,73.2,67.6,77.2
9.4,98.7,87.1,100.0
4.8,74.2,93.5,81.2
7.5,48.2,97.3,86.6
10.3,74.4,87.2,99.8
11.4,67.8,58.9,74.3
1.8,84.6,81.3,76.9
11.1,37.5,66.3,79.2
5.9,83.3,55.3,77.5
3.1,67.9,90.5,71.7
5.5,97.4,42.3,83.8
11.8,53.9,94.1,99.9
5.9,74.3,67.7,73.9
3.9,95.2,78.2,85.3
7.6,37.2,79.6,66.7
2.9,95.6,93.7,78.2
0.9,78.2,78.2,64.3
1.5,34.7,76.8,55.7
1.5,51.1,44.0,52.9
1.8,79.6,71.1,71.1
1.7,34.7,49.0,47.3
7.7,70.8,84.2,89.3
2.2,54.2,70.7,56.3
4.1,73.5,80.8,78.1
10.8,33.2,42.5,72.4
5.7,91.0,45.1,80.8
8.0,98.1,83.0,100.0
2.1,97.8,44.3,72.3
2.3,82.5,44.3,64.9
0.5,39.1,40.7,44.7
